#This is a comment
#Particle charge px[MeV] py[MeV] pz[Mev]
pion 1 91.8122 184.646 158.041
electron -1 -163.218 -33.8625 -16.039
muon 1 -232.257 19.0368 -76.5885
pion 1 63.0394 -76.7849 172.513
pion 1 -230.653 236.605 245.806
muon -1 50.628 100.648 -153.644
pion 1 -154.906 -203.962 -186.088
muon 1 -169.96 -111.843 224.756
muon 1 -108.727 -215.408 16.2005
muon -1 -95.474 30.1777 185.343
pion 1 -247.007 90.8231 -88.4369
pion 1 -48.3848 164.543 68.1466
electron 1 -150.185 -99.2406 -201.861
pion -1 -199.733 4.12634 -165.95
muon 1 -48.183 -237.457 224.021
pion 1 -155.995 -114.133 198.628
pion -1 -0.111376 60.3274 -155.095
pion -1 7.52738 140.525 42.3889
muon 1 15.9471 -129.645 20.3134
muon 1 -96.7277 160.973 -206.63
muon -1 166.129 -168.689 -134.407
muon 1 100.614 -54.7468 246.851
electron -1 5.18665 -118.969 61.3275
muon 1 3.37527 -205.549 242.98
muon -1 92.252 76.4324 -34.1971
pion -1 -219.2 187.079 199.739
pion 1 -149.803 -238.219 -36.7683
pion 1 -225.882 -67.0272 -213.924
pion -1 2.29262 80.9525 74.1917
pion 1 82.6759 -1.96456 208.657
electron 1 127.513 -143.667 -146.4
pion -1 28.0049 -207.547 -125.446
pion 1 -16.6161 69.6514 123.754
muon 1 -74.816 66.2806 222.182
muon -1 136.712 204.049 73.2172
pion 1 217.346 93.5336 137.84
pion -1 -140.919 -90.2954 -176.205
electron 1 121.321 196.339 31.0162
pion -1 81.9724 92.717 -163.19
muon 1 -130.571 228.642 200.574
electron 1 102.749 86.9605 -63.4999
muon -1 114.66 178.527 -144.055
muon -1 -94.6707 208.382 -178.313
electron 1 85.1254 -40.8093 153.947
pion 1 123.792 219.157 -200.08
muon -1 -35.3056 239.74 18.9449
pion 1 -76.1127 77.613 -6.60312
pion 1 34.4799 5.22981 -247.24
pion 1 -7.93989 -220.817 213.92
muon -1 47.2876 -57.6216 106.556
pion -1 42.3183 -132.556 117.78
muon -1 60.9384 7.07789 -61.1966
muon 1 235.12 -206.691 -97.1387
muon 1 -8.91067 -114.906 198.706
muon -1 242.451 -71.8483 -204.488
muon 1 211.838 167.4 173.715
muon -1 -55.4727 -189.686 67.7549
electron -1 -211.475 161.348 248.21
pion 1 104.953 98.2334 -42.5898
